Facility Name,Facility Reference Number,Real Longitude,Real Latitude,Model Longitude,Model Latitude
"Barkley, San Mateo Bay, Barkley Dist.",169,-124.987033314478,48.9431000029995,-124.987033314478,48.9431000029995
"Mussel Rock, Clayoquot Sound",543,-125.867619970757,49.2592500019879,-125.867619970757,49.2592500019879
"Saranac Island, NW of Meares Island",527,-125.906716636947,49.2480333352808,-125.906716636947,49.2480333352808
"Indian Bay, Tofino Inlet",233,-125.725489972252,49.1191600021658,-125.725489972252,49.1191600021658
"Eagle Bay, Tofino Inlet",244,-125.710929972446,49.12945000218,-125.710929972446,49.12945000218
"Surprise Island, Crowther Channel [FF]",1872,-127.296619964582,50.0470700006186,-127.296619964582,50.0470700006186
"Jane Bay, Barkley Sound",270,-125.156916645817,49.0030666694749,-125.152211967361,48.9960753791903
"Rant Point, Clayoquot Sound",526,-125.841529971062,49.2567000020165,-125.841529971062,49.2567000020165
"Dixon Bay, Shelter Inlet",234,-126.150719967827,49.4047800016669,-126.150719967827,49.4047800016669
"Bawden Point, Herbert Inlet",227,-126.00721663589,49.3079833351643,-126.00721663589,49.3079833351643
"Fortune Channel, East side Warn Bay",540,-125.75173330544,49.2350333354508,-125.75173330544,49.2350333354508
"Bare Bluff, Clayoquot Snd, Bedwell Snd",1537,-125.799019971678,49.3270200020511,-125.799019971678,49.3270200020511
"Bedwell, East Shore",520,-125.812469971422,49.2654800020466,-125.812469971422,49.2654800020466
"Whiteley Island, Kyuquot Sound",112,-127.19164996401,50.0173600006919,-127.19164996401,50.0173600006919
"San Mateo, South Side San Mateo Bay, Alberni Inlet",224,-124.992389981077,48.9393800029949,-124.992269292762,48.9396771882845
"Lutes Creek, Hecate Channel",1078,-126.757999963973,49.8680000010401,-126.757999963973,49.8680000010401
"Steamer Point, Hecate Channel",1079,-126.791099963877,49.8868000010105,-126.791099963877,49.8868000010105
"Hohoae South Point, Pinnace Channel",1158,-127.210183297449,50.0335000006781,-127.210183297449,50.0335000006781
