,"Sargeaunt Passage, Tribune Channel","Humphrey Rock, Tribune Channel","Doctor Islets, Knight Inlet",Ga-guump,Tsa-ya  (Minstrel Island),"Noo-La, Clio Channel",Wa-kwa,"Port Elizabeth, Gilford Island","Larsen Island, Indian Channel","Swanson Island, North side","Midsummer Island, Spring Passage",Upper Retreat Passage,"Burdwood Group, Raleigh Passage","Wicklow Point, Broughton Island","Sir Edmund Bay, NE Shore Broughton Inlet","Cypress Hrbr, Harbour Pt, Sutlej Channel","Cecil Island, Greenway Sound","Maude Island, SE Broughton Is.,","Simmonds Bay, Wells Passage","Wehlis Bay, Wells Passage","Hardy Bay, Port Hardy","Doyle Island, Gordon Group","Duncan Island, Goletas Channel","Goletas Channel, S.E. Bell Island","Shelter Passage, Wishart Island","Raynor Group, Varg Island","Marsh Bay, Stuart Rock N. of P. Hardy","Robertson Island, Richards Channel","Shelter Bay, Richards Channel",Wanx talis (Heath Bay),"Ghi ya, Bull Harbour, Hope Isl"
"Sargeaunt Passage, Tribune Channel",47160,89,73,27,9,8,2,5,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Humphrey Rock, Tribune Channel",435,47160,160,34,8,6,2,28,2,13,26,9,135,137,82,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Doctor Islets, Knight Inlet",346,778,47160,129,69,44,23,91,0,3,12,3,21,30,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ga-guump,48,63,124,47160,367,304,112,114,9,5,11,5,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tsa-ya  (Minstrel Island),48,54,128,426,47160,4188,1336,151,15,1,24,15,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Noo-La, Clio Channel",27,41,83,160,1856,47160,1383,102,21,1,23,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wa-kwa,21,29,84,160,1650,1703,47160,87,16,4,20,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Port Elizabeth, Gilford Island",40,63,182,81,28,13,10,47160,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Larsen Island, Indian Channel",5,6,16,14,49,62,58,41,47160,121,27,21,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Swanson Island, North side",6,7,12,15,14,17,10,26,215,47160,50,29,5,1,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0
"Midsummer Island, Spring Passage",11,23,46,44,33,29,11,120,98,111,47160,294,30,9,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Upper Retreat Passage,0,3,1,0,0,1,0,0,4,6,16,47160,107,32,23,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Burdwood Group, Raleigh Passage",9,23,4,1,2,1,0,9,17,34,92,51,47160,424,392,47,29,15,7,8,0,0,0,0,1,0,0,0,0,0,0
"Wicklow Point, Broughton Island",2,13,3,0,1,0,0,1,4,15,20,7,181,47160,61,4,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"Sir Edmund Bay, NE Shore Broughton Inlet",0,1,0,0,0,0,0,1,0,0,0,1,11,3,47160,92,62,45,5,6,0,0,0,0,0,0,0,0,0,0,0
"Cypress Hrbr, Harbour Pt, Sutlej Channel",0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,47160,256,141,11,3,0,0,0,0,0,0,0,0,0,0,0
"Cecil Island, Greenway Sound",0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,144,47160,3138,16,9,0,0,0,0,0,0,0,0,0,0,0
"Maude Island, SE Broughton Is.,",0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,113,1071,47160,17,10,0,0,0,0,0,0,0,0,0,0,0
"Simmonds Bay, Wells Passage",0,0,1,0,0,0,0,0,7,25,46,15,20,71,47,473,701,258,47160,2829,0,0,0,0,0,0,0,0,0,0,0
"Wehlis Bay, Wells Passage",0,0,0,0,0,1,0,0,5,9,15,3,2,38,13,105,161,67,4516,47160,0,0,0,0,0,0,0,0,0,0,0
"Hardy Bay, Port Hardy",0,0,1,0,0,0,0,0,2,1,9,0,0,12,0,1,0,0,5,15,47160,434,86,313,25,35,13,16,21,9,0
